_id,geoid,quarter,ams_bus,ams_oth,ams_res,avg_ns_bus,avg_ns_oth,avg_ns_res,avg_vac_b,avg_vac_o,avg_vac_r,bus_vac,nostat_bus,nostat_oth,nostat_res,ns_12_24_b,ns_12_24_o,ns_12_24_r,ns_24_36_b,ns_24_36_o,ns_24_36_r,ns_36_bus,ns_36_oth,ns_36_res,ns_3_6_bus,ns_3_6_oth,ns_3_6_res,ns_3_bus,ns_3_oth,ns_3_res,ns_6_12_b,ns_6_12_o,ns_6_12_r,oth_vac,pqns_is_b,pqns_is_o,pqns_is_r,pqv_is_bus,pqv_is_oth,pqv_is_res,pqv_ns_bus,pqv_ns_oth,pqv_ns_res,res_vac,vac_12_24b,vac_12_24o,vac_12_24r,vac_24_36b,vac_24_36o,vac_24_36r,vac_36_bus,vac_36_oth,vac_36_res,vac_3_6_b,vac_3_6_o,vac_3_6_r,vac_3_bus,vac_3_oth,vac_3_res,vac_6_12b,vac_6_12o,vac_6_12r,total_address_count,total_avg_vac,total_no_stat,total_pqv_pqns_is,total_vac_count,new_addr_r,new_addr_b,new_addr_o,drop_add_r,drop_add_b,drop_add_o
10983,42045408300,12-Dec,109,72,1508,551.86,0,1088.49,630.29,0,1274.94,14,7,0,147,6,0,2,0,0,2,0,0,142,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,4,0,7,0,0,18,2,0,18,1,0,1,2,0,2,5,0,2,1689,1905,154,0,62,,,,,,
10984,42045408400,12-Dec,3,3,923,0,0,2055,0,0,815.95,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,2,929,815,5,0,19,,,,,,
10985,42045408500,12-Dec,65,17,1602,616,0,0,1034,0,131.25,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,2,0,0,0,0,1,0,0,5,0,0,1,1684,1165,1,0,12,,,,,,
10986,42045408600,12-Dec,153,34,1351,1315.88,0,872,1169,0,478,7,8,0,2,1,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1538,1647,10,0,13,,,,,,
10987,42045408700,12-Dec,75,24,1815,2039,0,851,2619,0,1054.92,2,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,0,2,2,0,4,0,0,3,0,0,0,0,0,2,1914,3673,4,0,15,,,,,,
10988,42045408800,12-Dec,96,51,2084,1904.33,0,1538.43,1833.62,0,1086.59,13,9,0,7,1,0,1,2,0,2,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,7,5,0,8,8,0,10,0,0,2,0,0,1,0,0,1,2231,2920,16,0,42,,,,,,
10989,42045408900,12-Dec,20,6,1082,693,0,918,672,0,405.57,1,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1108,1077,3,0,8,,,,,,
10990,42045409000,12-Dec,482,40,2075,405.57,0,372.17,381,0,832.6,2,390,0,697,382,0,696,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,2,0,0,3,0,0,2,1,0,0,0,0,2,0,0,1,2597,1213,1087,0,12,,,,,,
10991,42045409100,12-Dec,74,19,1484,821.2,0,741.25,1324.33,0,1579.29,3,5,0,8,1,0,6,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,4,1,0,3,0,0,0,0,0,0,0,0,0,1577,2903,13,0,10,,,,,,
10992,42045409200,12-Dec,142,22,1511,1459.64,0,0,749.5,0,870.88,14,14,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,5,2,0,0,3,0,2,2,0,0,0,0,1,1,0,0,1675,1620,14,0,22,,,,,,
