tract,pop_total,pop_age_under5,pop_age_5to9,pop_age_10to14,pop_age_15to19,pop_age_20to24,pop_age_25to29,pop_age_30to34,pop_age_35to39,pop_age_40to44,pop_age_45to49,pop_age_50to54,pop_age_55to59,pop_age_60to64,pop_age_65to69,pop_age_70to74,pop_age_75to79,pop_age_80to84,pop_age_85plus,edu_hsplus,edu_bachelorsplus,movedin_last_decade,unemployed,income_household_mean,race_white_mono,race_black_mono,race_asian_mono,ethnicity_latino,households_avg_size
42003503002,5971,4.0,4.0,3.3,4.9,7.3,7.8,4.3,5.2,3.3,5.8,10.5,7.8,7.5,4.2,6.4,5.4,4.8,3.5,94.9,24.3,32.2,6.9,61524,95.6,4.0,0.0,1.3,2.14
42003504100,5373,10.4,4.2,4.3,3.6,6.6,7.2,3.6,6.9,7.6,6.3,7.7,9.1,5.0,5.5,2.6,3.1,4.4,2.0,87.9,10.9,44.9,5.9,45218,70.7,26.9,0.2,1.0,2.17
42003507000,2182,4.8,4.6,7.7,5.0,4.5,6.6,6.8,7.3,5.9,10.1,4.6,11.1,3.3,3.8,2.1,5.5,2.9,3.4,89.6,13.4,39.9,6.1,44978,90.4,5.0,0.5,1.1,2.15
42003508000,1912,6.3,4.4,4.0,4.7,7.5,4.9,7.3,6.9,6.1,7.7,8.3,6.1,8.6,1.5,2.9,4.4,4.4,4.0,86.2,13.0,56.9,13.0,29945,78.2,18.0,0.2,2.0,1.86
42003509400,5361,4.6,3.7,5.0,6.4,6.5,7.3,7.7,3.6,4.5,9.4,7.8,7.3,7.5,5.7,2.6,3.2,4.0,3.2,91.4,10.3,39.3,11.1,42787,89.7,7.9,0.0,0.4,2.08
42003510000,1781,7.9,8.6,6.2,10.4,8.3,5.8,7.7,4.0,6.7,5.8,7.6,4.2,3.5,2.8,2.6,3.7,3.1,1.2,91.4,12.6,57.0,8.9,36839,40.4,52.8,3.3,1.1,2.46
42003512000,2508,6.0,6.6,5.2,6.3,5.8,9.4,5.0,9.1,4.1,5.5,10.0,6.5,4.7,3.8,5.9,2.2,3.3,0.8,81.9,8.4,43.0,9.3,42762,70.2,24.5,0.0,0.0,2.25
42003512800,1254,3.5,5.0,9.1,5.8,10.8,6.3,4.9,2.2,10.5,5.7,7.3,8.5,5.5,3.7,3.4,1.4,1.4,5.1,88.7,4.9,53.1,21.7,32449,37.4,55.1,0.0,1.5,2.02
42003512900,1149,3.0,1.6,4.0,20.6,9.1,4.7,7.2,11.4,1.9,5.7,7.7,7.1,3.9,3.0,3.6,1.4,2.4,1.6,86.6,5.1,48.1,32.8,31874,22.8,76.5,0.5,0.9,2.57
42003513800,2243,6.0,7.9,8.3,10.3,8.2,7.0,7.5,2.4,5.1,5.8,6.7,4.7,3.4,5.1,1.8,3.2,3.5,3.0,82.1,13.6,47.4,15.2,29713,28.9,69.4,0.0,0.2,2.61
42003514000,2199,8.4,8.0,9.2,7.3,7.8,7.5,7.8,2.5,7.0,4.5,7.8,3.9,6.9,3.2,2.4,2.1,3.2,0.7,85.5,8.9,45.9,18.8,31135,19.5,77.8,0.0,1.0,2.43
42003515100,2442,3.8,6.8,8.0,3.4,8.4,9.5,4.1,5.9,7.5,5.1,8.6,8.1,7.8,2.9,2.9,2.3,3.4,1.4,89.8,23.1,52.5,11.9,40505,48.0,51.2,0.0,0.0,1.94
42003515200,2105,4.3,3.1,2.7,6.4,6.0,4.8,17.1,4.4,8.2,5.2,9.5,7.9,6.3,6.1,2.6,3.8,1.0,0.5,94.9,36.5,55.2,12.2,50453,66.2,32.2,0.0,2.8,1.81
42003515300,1888,0.4,0.8,4.3,10.8,7.3,5.6,0.5,9.6,8.1,7.9,4.4,14.4,4.1,5.9,4.6,7.8,2.2,1.4,90.2,19.3,53.1,5.8,49169,56.8,41.2,0.0,1.8,2.01
42003515401,2533,5.3,3.1,5.1,3.4,4.0,11.3,5.6,9.7,7.1,7.0,5.4,6.4,8.1,3.6,5.3,5.3,1.4,3.0,96.8,50.1,42.7,1.5,65489,85.1,12.1,0.4,2.2,2.07
42003516100,1430,11.7,3.2,2.4,1.9,1.7,9.1,15.8,6.3,4.0,6.2,6.2,7.3,9.4,4.8,5.2,1.8,0.0,2.9,94.1,59.6,41.9,7.3,90864,97.2,1.1,1.3,3.4,2.13
42003516200,1695,7.3,2.1,7.6,5.0,6.0,5.9,6.5,6.3,8.8,8.7,9.1,10.3,6.1,4.0,1.3,1.7,1.7,1.8,96.1,63.5,43.4,1.2,86499,80.9,11.0,5.5,0.0,2.08
42003517000,1756,2.3,5.6,4.4,4.0,3.9,4.8,5.9,2.6,4.9,8.2,7.1,9.1,7.7,5.9,7.2,7.1,6.0,3.5,90.6,22.6,50.3,9.1,41101,72.6,23.5,0.3,0.0,1.76
42003518001,3455,7.1,4.8,3.9,3.8,2.5,2.6,3.0,4.4,9.2,9.9,10.0,9.3,7.6,4.1,4.2,3.6,4.0,6.1,97.1,53.6,38.9,4.3,82608,87.0,10.5,2.1,1.5,2.13
42003519000,3032,3.2,5.9,4.6,6.0,2.6,4.0,2.6,4.1,7.9,4.8,11.6,9.9,7.7,4.8,7.8,5.7,3.7,2.9,97.2,56.9,32.5,6.4,89787,77.2,16.0,2.2,2.3,2.29
42003520001,3225,7.7,4.4,3.0,4.9,5.5,6.4,5.2,6.0,3.7,4.9,6.4,8.8,8.2,4.5,6.8,5.4,5.2,2.9,94.8,38.3,44.2,6.0,64457,83.7,14.6,0.5,0.9,2.13
42003520002,3142,6.0,3.2,4.9,7.6,4.4,5.7,4.6,7.8,5.3,6.6,9.9,7.2,7.4,3.7,5.7,4.1,3.0,3.0,96.1,29.4,40.2,4.4,52268,85.8,10.8,0.0,1.6,2.14
42003521100,4518,4.2,7.1,6.5,5.9,5.0,5.9,5.1,4.6,7.6,8.7,8.6,10.0,4.4,3.2,4.6,4.4,2.6,1.7,95.6,33.7,33.0,7.0,79063,75.4,20.5,1.1,1.3,2.60
42003521200,4592,7.1,1.8,5.9,5.4,4.6,12.7,7.6,6.1,8.2,5.5,8.3,7.0,4.8,3.4,2.8,3.0,3.7,2.3,88.7,37.6,47.2,1.8,58188,76.6,14.1,6.9,0.5,2.09
42003521301,4214,9.1,4.1,4.9,5.1,5.2,6.2,3.8,4.9,7.0,5.2,5.9,6.4,6.8,4.9,4.7,4.2,7.3,4.3,90.5,38.5,53.6,10.4,62585,63.9,21.2,9.4,2.1,2.08
42003521302,3947,2.7,4.0,5.5,3.0,7.3,11.6,7.0,5.2,7.2,8.4,6.7,8.1,6.4,3.6,2.5,3.1,4.1,3.4,91.9,39.3,44.5,5.5,63559,71.7,11.8,11.8,1.2,1.98
42003521401,2975,5.1,4.4,6.8,2.5,4.0,5.9,4.2,8.3,5.0,6.0,6.3,7.9,10.5,4.6,6.0,3.6,4.1,4.8,93.7,28.3,47.3,6.2,67125,79.9,15.3,3.2,4.5,2.41
42003521402,3862,3.4,7.0,5.0,5.7,5.0,3.2,3.6,7.2,5.8,5.5,8.4,9.7,9.5,6.3,5.5,2.8,3.0,3.3,98.7,52.7,30.1,3.8,93661,84.8,5.4,7.9,0.8,2.65
42003521500,4269,2.8,3.6,7.9,6.1,3.7,5.2,4.6,4.8,6.1,5.2,8.9,8.9,9.1,6.0,6.1,4.9,2.2,4.1,94.0,31.1,28.4,5.6,81019,91.1,2.1,3.0,0.8,2.30
42003522000,3297,8.3,5.3,5.6,6.0,7.9,6.2,10.7,4.7,6.1,6.0,8.6,3.8,5.9,5.4,3.0,2.1,3.3,1.0,93.6,21.4,48.5,12.4,41630,82.0,16.1,0.0,0.4,2.19
