tract,pop_age_under5,pop_age_5to9,pop_age_10to14,pop_age_15to19,pop_age_20to24,pop_age_25to29,pop_age_30to34,pop_age_35to39,pop_age_40to44,pop_age_45to49,pop_age_50to54,pop_age_55to59,pop_age_60to64,pop_age_65to69,pop_age_70to74,pop_age_75to79,pop_age_80to84,pop_age_85plus
42003452000,6.6,7.0,4.2,4.0,10.2,4.8,4.6,10.3,7.6,8.0,4.2,6.7,8.6,3.9,4.2,2.5,1.4,1.1
42003453003,2.0,3.6,6.7,5.0,5.2,6.8,6.4,3.5,6.8,8.2,7.7,11.0,8.7,6.4,4.7,2.1,3.3,1.9
42003453004,4.5,4.3,3.3,4.3,5.6,12.3,11.9,3.7,13.9,6.0,5.5,10.7,4.4,4.6,3.3,0.7,1.1,0.0
42003455000,7.7,3.3,4.3,3.7,3.0,5.1,10.0,5.1,4.1,8.9,8.8,8.3,8.3,5.7,7.5,3.8,0.7,1.8
42003456001,3.7,9.7,8.9,7.3,2.9,4.6,5.0,7.9,9.6,6.3,8.5,7.9,5.7,6.6,3.5,1.4,0.0,0.4
42003456003,6.8,10.6,10.4,5.5,1.6,3.1,5.1,9.6,10.9,8.2,4.2,6.1,5.8,3.5,2.2,4.0,0.7,1.7
42003456004,4.7,5.1,4.3,3.8,6.1,5.6,4.4,6.9,7.0,4.3,7.3,7.6,3.7,4.9,7.0,3.1,2.5,11.7
42003457100,4.5,4.1,4.3,4.6,4.2,7.6,9.0,3.1,7.0,6.4,8.7,7.3,5.2,9.0,3.6,7.0,2.3,2.1
42003457200,5.9,5.0,4.5,4.3,5.7,6.9,8.7,5.8,6.6,5.0,7.6,6.8,4.8,5.2,5.5,3.2,4.1,4.4
42003458001,3.9,3.4,6.2,7.2,3.9,6.4,5.1,3.2,7.8,11.4,4.9,6.4,7.9,7.4,8.1,2.0,2.0,2.8
42003458002,5.4,4.9,4.6,1.6,2.0,1.3,6.3,8.5,4.5,6.0,8.1,9.2,8.8,9.8,8.4,4.5,1.5,4.6
42003459101,4.8,8.6,10.4,6.8,3.4,3.4,4.6,4.8,3.0,4.4,6.4,11.3,7.1,3.7,4.4,7.7,3.7,1.6
42003459102,4.9,3.9,3.8,5.0,3.2,7.9,9.4,7.0,5.1,5.6,7.1,9.8,8.7,6.1,6.6,3.1,0.9,1.9
42003459201,6.5,3.5,4.7,2.8,8.1,12.5,8.7,7.8,4.9,7.3,6.5,5.1,6.5,5.2,3.3,3.1,1.6,1.8
42003459202,4.0,2.1,1.9,1.5,6.5,17.1,11.4,12.6,2.9,3.9,3.5,8.5,10.6,5.3,3.5,2.9,1.0,0.8
42003460001,3.8,4.9,4.2,5.6,1.2,6.1,4.4,7.6,5.6,4.9,5.8,8.6,14.7,4.5,4.7,4.3,2.6,6.3
42003460002,5.7,4.9,6.4,2.5,2.8,8.2,7.3,5.4,5.0,5.5,5.2,8.6,7.4,7.7,6.8,5.4,1.7,3.4
42003461000,3.4,0.6,4.5,8.0,4.2,4.9,8.2,4.7,8.8,5.5,8.1,6.7,8.8,7.7,7.1,4.5,2.1,2.6
42003462100,4.6,7.7,10.7,11.6,3.4,4.1,10.4,3.1,8.1,4.2,7.4,3.5,7.1,3.2,3.3,2.7,2.4,2.4
42003462600,9.7,3.3,8.2,8.5,4.8,4.0,3.2,11.5,5.5,8.0,9.5,6.3,3.1,4.5,3.5,0.6,4.3,1.7
42003463900,5.2,6.5,5.4,5.3,7.0,9.3,4.7,5.3,5.4,4.6,10.3,8.6,8.0,2.6,2.6,6.3,1.2,1.4
42003464300,8.3,5.9,6.3,3.9,5.3,8.2,7.1,9.3,2.9,8.5,4.6,6.7,6.8,5.6,5.0,1.5,1.8,2.4
42003464400,11.7,3.5,6.4,4.8,5.1,10.6,9.0,3.3,2.4,4.2,4.4,10.0,7.1,5.5,5.2,0.4,1.4,5.0
42003465600,7.7,1.9,3.4,7.9,4.2,6.4,11.8,5.1,2.7,4.6,6.4,8.5,3.3,11.1,4.6,4.8,3.5,2.1
42003465800,3.9,6.6,3.4,5.0,5.5,6.7,8.3,6.9,4.7,7.2,4.3,7.1,16.8,5.5,3.9,2.1,0.8,1.3
42003468700,3.3,3.6,4.6,3.7,5.2,9.6,6.4,7.2,4.2,4.6,4.9,7.5,14.9,7.9,4.2,2.5,2.6,3.3
42003468800,7.3,2.1,4.5,4.6,2.3,11.0,10.7,12.7,3.3,8.8,3.9,6.8,5.6,7.6,2.1,4.1,0.3,2.1
42003468900,9.9,3.2,2.4,2.1,5.9,13.3,11.6,4.7,1.3,5.0,4.7,8.7,8.3,4.4,7.1,1.6,2.1,4.0
42003469000,6.4,5.5,3.6,1.9,3.1,10.4,11.3,6.3,3.2,5.0,3.6,9.7,8.3,7.8,5.3,1.4,4.0,3.3
42003470300,4.1,1.9,4.3,3.8,5.0,4.8,5.9,3.9,4.0,3.6,7.8,8.5,5.6,7.4,6.9,5.9,6.1,10.6
42003470400,2.6,5.1,3.5,5.7,4.3,4.8,5.6,6.9,4.5,5.4,6.2,17.7,7.0,5.2,6.0,2.6,3.5,3.4
42003470501,7.0,7.2,1.7,2.6,3.8,10.9,21.5,14.3,2.9,3.2,5.5,4.7,0.5,7.4,3.6,0.9,0.0,2.2
42003470502,5.4,3.6,3.7,3.5,1.2,3.3,7.2,7.8,4.6,5.3,5.2,10.1,7.2,7.9,4.1,5.0,5.1,9.9
42003470600,3.6,5.2,5.5,3.1,4.2,9.0,8.1,9.3,7.4,3.6,8.1,5.3,7.3,9.9,5.6,0.8,3.0,0.9
42003471000,3.7,4.2,2.9,2.9,3.7,8.9,12.9,5.9,4.4,3.6,12.1,9.4,7.0,3.8,3.7,3.9,4.8,2.4
42003472100,3.3,2.8,4.0,7.2,9.0,12.6,9.0,6.0,5.3,8.2,5.1,6.8,4.9,6.2,2.7,0.7,3.4,2.9
42003472200,2.5,5.2,4.2,4.2,4.9,8.2,9.7,8.7,10.4,7.1,12.1,4.9,4.5,4.4,2.6,1.0,3.4,2.0
42003472300,4.4,3.1,2.7,3.2,9.4,16.8,13.5,9.2,4.4,4.4,4.2,7.8,3.5,4.5,4.9,2.6,0.0,1.7
42003472400,8.1,7.1,5.1,1.9,3.0,8.5,7.4,10.0,7.3,5.2,5.6,7.2,7.7,3.6,6.0,1.5,2.6,2.1
42003473100,7.2,6.1,10.7,8.6,1.5,4.3,6.1,8.6,5.0,4.7,8.3,7.9,6.5,4.4,4.0,1.9,1.6,2.4
42003473200,4.2,4.1,7.1,4.1,2.0,4.3,7.0,6.2,5.8,9.1,5.0,6.0,8.0,5.7,6.8,3.2,5.5,6.0
42003473300,4.5,6.2,8.6,4.4,0.9,4.0,11.5,4.8,6.6,9.6,6.4,6.9,4.2,6.8,3.5,5.0,2.3,4.0
42003473401,3.5,8.2,9.7,8.1,1.6,7.4,5.8,8.3,8.8,5.3,7.6,9.1,5.4,4.6,3.3,1.6,0.7,0.9
