PARID,Address,Lat,Lon
0051S00188000000,5437 ELLSWORTH AVE PITTSBURGH PA 15232,40.4536823,-79.93528632
0051S00061000000,590 S NEGLEY AVE PITTSBURGH PA 15232,40.4548202,-79.9328275
0051P00166000000,319 MOREWOOD AVE PITTSBURGH PA 15213,40.4537331,-79.9438273
0051P00315000000,5030 CENTRE AVE PITTSBURGH PA 15213,40.4538065,-79.9429853
0052E00105000000,513 N NEVILLE ST PITTSBURGH PA 15213,40.45007455,-79.94808526
0052G00142000000,5125 5TH AVE PITTSBURGH PA 15232,40.44783993,-79.93786994
0051L00035000000,515 S AIKEN AVE PITTSBURGH PA 15232,40.45549077,-79.93820934
0084K00303000000,341 S HIGHLAND AVE PITTSBURGH PA 15206,40.4560087,-79.92492148
0084M00130000000,6454 LIVING PL PITTSBURGH PA 15206,40.45637911,-79.91722866
0084M00206000A00,6480 LIVING PL PITTSBURGH PA 15206,40.45568525,-79.91710111
0084N00098000000,5700 ELLSWORTH AVE PITTSBURGH PA 15232,40.454742,-79.932374
0084P00150000000,809 COLLEGE ST PITTSBURGH PA 15232,40.45329833,-79.926914
0084P00103000000,490 S HIGHLAND AVE PITTSBURGH PA 15206,40.45338035,-79.92519797
0084N00054000000,5610 ELMER ST PITTSBURGH PA 15232,40.45317396,-79.93222222
0084P00029000000,5819 ELWOOD ST PITTSBURGH PA 15232,40.45365821,-79.92885866
0084E00084000000,5720 FRIENDSHIP AVE PITTSBURGH PA 15206,40.46068607,-79.93216473
0084B00068000000,121 S HIGHLAND AVE PITTSBURGH PA 15206,40.46069975,-79.92474495
0084E00165000000,5622 BAUM BLVD PITTSBURGH PA 15206,40.45792558,-79.93494219
0051B00088000000,304 S WINEBIDDLE ST PITTSBURGH PA 15224,40.46212423,-79.943356
0050P00173000000,267 S WINEBIDDLE ST PITTSBURGH PA 15224,40.46308387,-79.94300779
0084A00271000000,0 SAINT CLAIR ST PITTSBURGH PA 15206,40.4099827,-79.973001
0011J00068000000,1819 FORBES AVE PITTSBURGH PA 15219,40.43756194,-79.98096932
0050D00350000000,5380 MOSSFIELD ST PITTSBURGH PA 15224,40.47094836,-79.93336301
0050C00400000000,5303 CORNWALL ST PITTSBURGH PA 15224,40.47017708,-79.9374842
0080F00104000000,4840 HARRISON ST PITTSBURGH PA 15201,40.47748408,-79.95898146
0050D00325000000,5302 MOSSFIELD ST PITTSBURGH PA 15224,40.47256041,-79.9357578
0080D00305000000,512 MCCANDLESS AVE PITTSBURGH PA 15201,40.48008192,-79.95148192
0050H00375000000,5305 COLUMBO ST PITTSBURGH PA 15224,40.46922282,-79.93754669
0082P00173000000,5538 JACKSON ST PITTSBURGH PA 15206,40.4725656,-79.9269748
0083J00230000000,305 N NEGLEY AVE PITTSBURGH PA 15206,40.4658227,-79.92966335
0082M00167000000,1137 N HIGHLAND AVE PITTSBURGH PA 15206,40.4749936,-79.9188526
0083K00044000000,400 N NEGLEY AVE PITTSBURGH PA 15206,40.4667793,-79.9282
0083G00254000000,6004 STANTON AVE PITTSBURGH PA 15206,40.46954601,-79.92081737
0083G00266000000,738 N HIGHLAND AVE PITTSBURGH PA 15206,40.46923079,-79.92112217
0083K00806000000,5712 EAST LIBERTY BLVD PITTSBURGH PA 15206,40.46656865,-79.92565515
0084C00308000000,9 LARIMER AVE PITTSBURGH PA 15206,40.4615313,-79.9206736
0083S00201000000,6262 EAST LIBERTY BLVD PITTSBURGH PA 15206,40.464343,-79.918521
0083S00205000000,6514 CENTRE AVE PITTSBURGH PA 15206,40.4601501,-79.9243545
0083S00207000000,6202 KALIDA DR PITTSBURGH PA 15206,40.46398536,-79.92033818
0083S00209000000,6402 CENTRE AVE PITTSBURGH PA 15206,40.46295493,-79.92110687
0083S00001000000,213 LARIMER AVE PITTSBURGH PA 15206,40.46349551,-79.91716101
0085C00071000000,6200 5TH AVE PITTSBURGH PA 15232,40.45243691,-79.92249185
0085E00186000000,5520 5TH AVE PITTSBURGH PA 15232,40.4470315,-79.9483043
0085E00194000000,5540 5TH AVE PITTSBURGH PA 15232,40.4470315,-79.9483043
0087F00030000000,2232 WIGHTMAN ST PITTSBURGH PA 15217,40.43000885,-79.92787617
0086R00101000000,5726 BEACON ST PITTSBURGH PA 15217,40.43449979,-79.92414362
0086F00220000000,5703 FORBES AVE PITTSBURGH PA 15217,40.43814908,-79.92465806
