"Column Name","Label"
"DP04_0070PE","Percent!!HOUSE HEATING FUEL!!No fuel used"
"DP04_0070PM","Percent Margin of Error!!HOUSE HEATING FUEL!!No fuel used"
"DP04_0071E","Estimate!!SELECTED CHARACTERISTICS!!Occupied housing units"
"DP04_0071M","Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units"
"DP04_0071PE","Percent!!SELECTED CHARACTERISTICS!!Occupied housing units"
"DP04_0071PM","Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units"
"DP04_0072E","Estimate!!SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities"
"DP04_0072M","Margin of Error!!SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities"
"DP04_0072PE","Percent!!SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities"
"DP04_0072PM","Percent Margin of Error!!SELECTED CHARACTERISTICS!!Lacking complete plumbing facilities"
"DP04_0073E","Estimate!!SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities"
"DP04_0073M","Margin of Error!!SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities"
"DP04_0073PE","Percent!!SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities"
"DP04_0073PM","Percent Margin of Error!!SELECTED CHARACTERISTICS!!Lacking complete kitchen facilities"
"DP04_0074E","Estimate!!SELECTED CHARACTERISTICS!!No telephone service available"
"DP04_0074M","Margin of Error!!SELECTED CHARACTERISTICS!!No telephone service available"
"DP04_0074PE","Percent!!SELECTED CHARACTERISTICS!!No telephone service available"
"DP04_0074PM","Percent Margin of Error!!SELECTED CHARACTERISTICS!!No telephone service available"
"DP04_0075E","Estimate!!OCCUPANTS PER ROOM!!Occupied housing units"
"DP04_0075M","Margin of Error!!OCCUPANTS PER ROOM!!Occupied housing units"
"DP04_0075PE","Percent!!OCCUPANTS PER ROOM!!Occupied housing units"
"DP04_0075PM","Percent Margin of Error!!OCCUPANTS PER ROOM!!Occupied housing units"
"DP04_0076E","Estimate!!OCCUPANTS PER ROOM!!1.00 or less"
"DP04_0076M","Margin of Error!!OCCUPANTS PER ROOM!!1.00 or less"
"DP04_0076PE","Percent!!OCCUPANTS PER ROOM!!1.00 or less"
"DP04_0076PM","Percent Margin of Error!!OCCUPANTS PER ROOM!!1.00 or less"
"DP04_0077E","Estimate!!OCCUPANTS PER ROOM!!1.01 to 1.50"
"DP04_0077M","Margin of Error!!OCCUPANTS PER ROOM!!1.01 to 1.50"
"DP04_0077PE","Percent!!OCCUPANTS PER ROOM!!1.01 to 1.50"
"DP04_0077PM","Percent Margin of Error!!OCCUPANTS PER ROOM!!1.01 to 1.50"
"DP04_0078E","Estimate!!OCCUPANTS PER ROOM!!1.51 or more"
"DP04_0078M","Margin of Error!!OCCUPANTS PER ROOM!!1.51 or more"
"DP04_0078PE","Percent!!OCCUPANTS PER ROOM!!1.51 or more"
"DP04_0078PM","Percent Margin of Error!!OCCUPANTS PER ROOM!!1.51 or more"
"DP04_0079E","Estimate!!VALUE!!Owner-occupied units"
"DP04_0079M","Margin of Error!!VALUE!!Owner-occupied units"
"DP04_0079PE","Percent!!VALUE!!Owner-occupied units"
"DP04_0079PM","Percent Margin of Error!!VALUE!!Owner-occupied units"
"DP04_0080E","Estimate!!VALUE!!Less than $50,000"
"DP04_0080M","Margin of Error!!VALUE!!Less than $50,000"
"DP04_0080PE","Percent!!VALUE!!Less than $50,000"
"DP04_0080PM","Percent Margin of Error!!VALUE!!Less than $50,000"
"DP04_0081E","Estimate!!VALUE!!$50,000 to $99,999"
"DP04_0081M","Margin of Error!!VALUE!!$50,000 to $99,999"
"DP04_0081PE","Percent!!VALUE!!$50,000 to $99,999"
"DP04_0081PM","Percent Margin of Error!!VALUE!!$50,000 to $99,999"
"DP04_0082E","Estimate!!VALUE!!$100,000 to $149,999"
"DP04_0082M","Margin of Error!!VALUE!!$100,000 to $149,999"
"DP04_0082PE","Percent!!VALUE!!$100,000 to $149,999"
"DP04_0082PM","Percent Margin of Error!!VALUE!!$100,000 to $149,999"
"DP04_0083E","Estimate!!VALUE!!$150,000 to $199,999"
"DP04_0083M","Margin of Error!!VALUE!!$150,000 to $199,999"
"DP04_0083PE","Percent!!VALUE!!$150,000 to $199,999"
"DP04_0083PM","Percent Margin of Error!!VALUE!!$150,000 to $199,999"
"DP04_0084E","Estimate!!VALUE!!$200,000 to $299,999"
"DP04_0084M","Margin of Error!!VALUE!!$200,000 to $299,999"
"DP04_0084PE","Percent!!VALUE!!$200,000 to $299,999"
"DP04_0084PM","Percent Margin of Error!!VALUE!!$200,000 to $299,999"
"DP04_0085E","Estimate!!VALUE!!$300,000 to $499,999"
"DP04_0085M","Margin of Error!!VALUE!!$300,000 to $499,999"
"DP04_0085PE","Percent!!VALUE!!$300,000 to $499,999"
"DP04_0085PM","Percent Margin of Error!!VALUE!!$300,000 to $499,999"
"DP04_0086E","Estimate!!VALUE!!$500,000 to $999,999"
"DP04_0086M","Margin of Error!!VALUE!!$500,000 to $999,999"
"DP04_0086PE","Percent!!VALUE!!$500,000 to $999,999"
