"Label (Grouping)","Total"
"Census Tract 4508, Allegheny County, Pennsylvania",""
"    Estimate","1,346"
"Census Tract 4511.01, Allegheny County, Pennsylvania",""
"    Estimate","1,664"
"Census Tract 4511.02, Allegheny County, Pennsylvania",""
"    Estimate","2,141"
"Census Tract 4511.04, Allegheny County, Pennsylvania",""
"    Estimate","1,287"
"Census Tract 4511.05, Allegheny County, Pennsylvania",""
"    Estimate","2,492"
"Census Tract 4513, Allegheny County, Pennsylvania",""
"    Estimate","2,896"
"Census Tract 4520, Allegheny County, Pennsylvania",""
"    Estimate","2,431"
"Census Tract 4530.03, Allegheny County, Pennsylvania",""
"    Estimate","777"
"Census Tract 4530.04, Allegheny County, Pennsylvania",""
"    Estimate","3,198"
"Census Tract 4550, Allegheny County, Pennsylvania",""
"    Estimate","629"
"Census Tract 4560.01, Allegheny County, Pennsylvania",""
"    Estimate","1,347"
"Census Tract 4560.03, Allegheny County, Pennsylvania",""
"    Estimate","2,347"
"Census Tract 4560.04, Allegheny County, Pennsylvania",""
"    Estimate","2,253"
"Census Tract 4571, Allegheny County, Pennsylvania",""
"    Estimate","764"
"Census Tract 4572, Allegheny County, Pennsylvania",""
"    Estimate","1,839"
"Census Tract 4580, Allegheny County, Pennsylvania",""
"    Estimate","3,426"
"Census Tract 4591.01, Allegheny County, Pennsylvania",""
"    Estimate","694"
"Census Tract 4591.02, Allegheny County, Pennsylvania",""
"    Estimate","2,325"
"Census Tract 4592.01, Allegheny County, Pennsylvania",""
"    Estimate","2,891"
"Census Tract 4592.02, Allegheny County, Pennsylvania",""
"    Estimate","483"
"Census Tract 4600.01, Allegheny County, Pennsylvania",""
"    Estimate","2,012"
"Census Tract 4600.02, Allegheny County, Pennsylvania",""
"    Estimate","1,396"
"Census Tract 4610, Allegheny County, Pennsylvania",""
"    Estimate","632"
"Census Tract 4621, Allegheny County, Pennsylvania",""
"    Estimate","1,403"
"Census Tract 4626, Allegheny County, Pennsylvania",""
"    Estimate","2,014"
"Census Tract 4639, Allegheny County, Pennsylvania",""
"    Estimate","1,483"
"Census Tract 4643, Allegheny County, Pennsylvania",""
"    Estimate","1,614"
"Census Tract 4644, Allegheny County, Pennsylvania",""
"    Estimate","2,053"
"Census Tract 4656, Allegheny County, Pennsylvania",""
"    Estimate","1,348"
"Census Tract 4658, Allegheny County, Pennsylvania",""
"    Estimate","1,703"
"Census Tract 4687, Allegheny County, Pennsylvania",""
"    Estimate","865"
"Census Tract 4688, Allegheny County, Pennsylvania",""
"    Estimate","1,389"
"Census Tract 4689, Allegheny County, Pennsylvania",""
"    Estimate","2,021"
"Census Tract 4690, Allegheny County, Pennsylvania",""
"    Estimate","2,077"
"Census Tract 4703, Allegheny County, Pennsylvania",""
"    Estimate","1,688"
"Census Tract 4704, Allegheny County, Pennsylvania",""
"    Estimate","1,401"
"Census Tract 4705.01, Allegheny County, Pennsylvania",""
"    Estimate","2,233"
"Census Tract 4705.02, Allegheny County, Pennsylvania",""
"    Estimate","1,304"
"Census Tract 4706, Allegheny County, Pennsylvania",""
"    Estimate","1,595"
"Census Tract 4710, Allegheny County, Pennsylvania",""
"    Estimate","645"
"Census Tract 4721, Allegheny County, Pennsylvania",""
"    Estimate","1,312"
"Census Tract 4722, Allegheny County, Pennsylvania",""
"    Estimate","1,148"
"Census Tract 4723, Allegheny County, Pennsylvania",""
"    Estimate","1,073"
"Census Tract 4724, Allegheny County, Pennsylvania",""
"    Estimate","876"
"Census Tract 4731, Allegheny County, Pennsylvania",""
"    Estimate","2,191"
"Census Tract 4732, Allegheny County, Pennsylvania",""
"    Estimate","1,640"
"Census Tract 4733, Allegheny County, Pennsylvania",""
"    Estimate","2,307"
"Census Tract 4734.01, Allegheny County, Pennsylvania",""
"    Estimate","1,613"
"Census Tract 4734.02, Allegheny County, Pennsylvania",""
"    Estimate","1,538"
"Census Tract 4735, Allegheny County, Pennsylvania",""
"    Estimate","1,312"
"Census Tract 4736.01, Allegheny County, Pennsylvania",""
"    Estimate","1,603"
"Census Tract 4736.02, Allegheny County, Pennsylvania",""
"    Estimate","2,138"
"Census Tract 4741.01, Allegheny County, Pennsylvania",""
"    Estimate","1,323"
"Census Tract 4741.02, Allegheny County, Pennsylvania",""
"    Estimate","1,372"
"Census Tract 4742.01, Allegheny County, Pennsylvania",""
"    Estimate","912"
"Census Tract 4742.02, Allegheny County, Pennsylvania",""
"    Estimate","1,903"
"Census Tract 4742.03, Allegheny County, Pennsylvania",""
"    Estimate","1,595"
"Census Tract 4751.01, Allegheny County, Pennsylvania",""
"    Estimate","2,404"
"Census Tract 4751.02, Allegheny County, Pennsylvania",""
"    Estimate","682"
"Census Tract 4752, Allegheny County, Pennsylvania",""
"    Estimate","1,943"
"Census Tract 4753.01, Allegheny County, Pennsylvania",""
"    Estimate","2,061"
"Census Tract 4753.03, Allegheny County, Pennsylvania",""
"    Estimate","1,573"
"Census Tract 4753.04, Allegheny County, Pennsylvania",""
"    Estimate","2,289"
"Census Tract 4754.01, Allegheny County, Pennsylvania",""
"    Estimate","1,594"
"Census Tract 4754.02, Allegheny County, Pennsylvania",""
"    Estimate","1,215"
"Census Tract 4761, Allegheny County, Pennsylvania",""
"    Estimate","2,636"
"Census Tract 4762, Allegheny County, Pennsylvania",""
"    Estimate","1,493"
"Census Tract 4771, Allegheny County, Pennsylvania",""
"    Estimate","1,667"
"Census Tract 4772, Allegheny County, Pennsylvania",""
"    Estimate","1,940"
"Census Tract 4773, Allegheny County, Pennsylvania",""
"    Estimate","2,858"
"Census Tract 4781, Allegheny County, Pennsylvania",""
"    Estimate","2,185"
"Census Tract 4782, Allegheny County, Pennsylvania",""
"    Estimate","2,582"
"Census Tract 4790, Allegheny County, Pennsylvania",""
"    Estimate","865"
"Census Tract 4801.01, Allegheny County, Pennsylvania",""
"    Estimate","2,434"
"Census Tract 4801.02, Allegheny County, Pennsylvania",""
"    Estimate","1,347"
"Census Tract 4802, Allegheny County, Pennsylvania",""
