STOP_ID,ROUTE,STOP_ROUTE,STOP_NAME,CLEVER_ID,LATITUDE,LONGITUDE,ALL_ROUTES,SHELTER,STOP_TYPE,CURRENT_STOP,FY19_AVG_ON,FY19_AVG_OFF,FY19_AVG_TOTAL,FY19_RANK,1806_ON,1806_OFF,1809_ON,1809_OFF,1811_ON,1811_OFF,1903_ON,1903_OFF,1906_ON,1906_OFF
E04190,69,E04190_69,ARDMORE BLVD AT BRADDOCK RD,7813,40.42457,-79.859796,"69, P69, P76",No Shelter,Bus,,1,7,8,6343,0.3,4.9,0.2,5.3,1.3,9.4,2.0,11.4,0.8,5.0
N40430,75,N40430_75,OLD FREEPORT RD AT POST OFFI,9361,40.488306,-79.875644,"75, 91",No Shelter,Bus,,0,8,8,6344,0.3,7.1,0.3,10.8,0.2,8.7,0.1,6.8,0.0,5.7
E03930,83,E03930_83,ALLEQUIPPA ST OPP SUTHERLAND,8653,40.44448,-79.96362,83,No Shelter,Bus,,0,8,8,6345,0.2,5.1,0.1,9.5,0.1,8.2,0.7,10.6,0.1,5.5
E36050,82,E36050_82,LINCOLN AVE OPP ARBOR ST,8804,40.466211,-79.897768,"82, P17",No Shelter,Bus,,0,8,8,6346,0.2,8.3,0.1,7.8,0.2,6.8,0.3,9.1,0.2,10.0
S28060,51,S28060_51,LEBANON CHURCH RD AT REGIS A,10038,40.347316,-79.952377,"51, Y47",No Shelter,Bus,,0,8,8,6347,0.2,8.3,0.5,7.2,0.3,7.4,0.6,8.0,0.6,8.1
N36460,P13,N36460_P13,MT ROYAL BLVD OPP CAMPBELL P,2444,40.526572,-79.963393,"2, P13",No Shelter,Bus,,0,8,8,6348,0.2,7.4,0.1,8.1,0.1,7.3,0.1,8.7,0.5,10.2
E35790,P17,E35790_P17,LINCOLN AVE AT CAMPANIA ST,8811,40.472199,-79.890953,"82, P17",No Shelter,Bus,,0,8,8,6349,0.2,14.8,0.0,12.2,0.1,4.6,0.0,6.5,0.0,3.1
W08047,38,W08047_38,GREENTREE RD AT GREEN OAK LN,5861,40.401485,-80.063176,38,No Shelter,Bus,,0,8,8,6350,0.2,8.5,0.1,9.0,0.1,7.7,0.4,6.8,0.0,5.6
X01550,36,X01550_36,BEVERLY RD AT COCHRAN RD,4669,40.387345,-80.054636,36,No Shelter,Bus,,0,8,8,6351,0.2,9.2,0.1,9.2,0.2,7.2,0.3,7.9,0.1,6.7
N22510,P78,N22510_P78,FREEPORT RD OPP HWY RT 910,12618,40.536769,-79.839442,"1, P16, P78",No Shelter,Bus,,0,8,8,6352,0.2,8.9,0.0,1.1,0.2,9.5,0.1,9.8,0.0,10.1
