_id,geoid,quarter,ams_bus,ams_oth,ams_res,avg_ns_bus,avg_ns_oth,avg_ns_res,avg_vac_b,avg_vac_o,avg_vac_r,bus_vac,nostat_bus,nostat_oth,nostat_res,ns_12_24_b,ns_12_24_o,ns_12_24_r,ns_24_36_b,ns_24_36_o,ns_24_36_r,ns_36_bus,ns_36_oth,ns_36_res,ns_3_6_bus,ns_3_6_oth,ns_3_6_res,ns_3_bus,ns_3_oth,ns_3_res,ns_6_12_b,ns_6_12_o,ns_6_12_r,oth_vac,pqns_is_b,pqns_is_o,pqns_is_r,pqv_is_bus,pqv_is_oth,pqv_is_res,pqv_ns_bus,pqv_ns_oth,pqv_ns_res,res_vac,vac_12_24b,vac_12_24o,vac_12_24r,vac_24_36b,vac_24_36o,vac_24_36r,vac_36_bus,vac_36_oth,vac_36_res,vac_3_6_b,vac_3_6_o,vac_3_6_r,vac_3_bus,vac_3_oth,vac_3_res,vac_6_12b,vac_6_12o,vac_6_12r,total_address_count,total_avg_vac,total_no_stat,total_pqv_pqns_is,total_vac_count,new_addr_r,new_addr_b,new_addr_o,drop_add_r,drop_add_b,drop_add_o
114162,42091201501,20-Dec,53,18,1574,0,0,2663.83,1848.33,0,1065.67,3,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1645,2914,6,0,6,,,,,,
114163,42017105900,20-Dec,208,72,876,3882.39,0,4054.15,2974.57,0,2573.17,28,28,0,13,0,0,0,0,0,0,27,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,27,0,4,0,0,0,1,0,0,0,0,0,1156,5547,41,0,34,,,,,,
114164,42011010802,20-Dec,111,20,3552,3560.59,0,2902.75,518,0,307.55,4,17,0,51,3,0,6,0,0,5,14,0,36,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,20,4,0,0,0,0,0,0,0,4,0,0,11,0,0,1,0,0,4,3683,825,68,12,24,,,,,,
114165,42017100900,20-Dec,45,30,2811,2751,0,2433.82,349,0,2359.5,1,3,0,22,1,0,3,0,0,1,2,0,13,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,10,1,0,3,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,2886,2708,25,0,11,,,,,,
114166,42017101100,20-Dec,181,76,847,2159.4,0,668.5,2576.21,0,1987.71,19,15,0,6,4,0,5,3,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,2,1,0,1,17,0,4,0,0,0,0,0,0,0,0,0,1104,4563,21,0,26,,,,,,
114167,42101980300,20-Dec,407,38,848,3061.68,0,3330.03,1901.76,0,0,21,210,0,847,0,0,0,0,0,0,200,0,847,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,3,0,0,1293,1901,1057,0,21,,,,,,
114168,42101034802,20-Dec,16,62,2262,2054,0,3371.13,0,0,2600,0,1,0,8,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2340,2600,9,0,6,,,,,,
114169,42101035200,20-Dec,52,35,1905,4157.25,0,2983.89,0,0,3779.56,0,4,0,28,0,0,0,0,0,3,4,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1992,3779,32,0,9,,,,,,
114170,42045407901,20-Dec,14,10,1532,0,0,3482.69,0,0,929.71,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,5,0,0,0,0,0,2,0,0,6,1556,929,13,0,14,,,,,,
114171,42045408002,20-Dec,126,38,1898,1450.83,0,2097.94,2425.31,0,897.22,13,6,0,18,0,0,0,0,0,4,2,0,14,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,10,0,2,0,0,1,0,0,0,3,0,6,2062,3322,24,2,22,,,,,,
